[Munich Mod] Copying data files to cities/data/MUC...
[Munich Mod] Data files copied successfully.
[Munich Mod] Starting tile server on port 8082...
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4359%2F2841.mvt in 2.883ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2841.mvt in 4.703625ms
2026/08/27 12:00:11 main.go:162: served 200 %2FMUC%2F13%2F4358%2F2840.mvt in 4.665667ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2841.mvt in 1.757875ms
2026/08/27 12:00:11 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2842.mvt in 5.040625ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F13%2F4358%2F2843.mvt in 882.667µs
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F13%2F4361%2F2841.mvt in 657.167µs
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4359%2F2840.mvt in 2.1525ms
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4361%2F2842.mvt in 2.405167ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F13%2F4360%2F2843.mvt in 5.293542ms
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4360%2F2840.mvt in 769.25µs
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4362%2F2841.mvt in 1.60075ms
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4358%2F2839.mvt in 1.60175ms
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4359%2F2839.mvt in 900.167µs
2026/08/27 12:00:12 main.go:162: served 200 %2FMUC%2F13%2F4361%2F2840.mvt in 916.5µs
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1419.mvt in 4.535292ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1420.mvt in 4.957459ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1421.mvt in 5.021875ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2179%2F1421.mvt in 5.437ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1420.mvt in 4.967625ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1421.mvt in 5.361ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2181%2F1420.mvt in 3.513167ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2181%2F1421.mvt in 3.860833ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2180%2F1419.mvt in 2.6145ms
2026/08/27 12:00:12 main.go:162: served 304 %2FMUC%2F12%2F2178%2F1420.mvt in 3.770958ms
